calories,protein,carbs,fat,fiber,sugar,sodium,cholesterol,water,cat_encoded,meal_encoded,name,category,meal_type,label_loss,label_balance,label_gain
295,22.7,25.1,13.1,1.8,2.9,543,75,200,12,1,Минтай жареный с морковью,Meal/Fish,Dinner,0,1,1
300,24.0,22.9,14.5,2.3,2.0,569,76,200,12,1,Минтай жареный запеченный,Meal/Fish,Dinner,0,1,1
320,15.0,35.0,14.0,3.0,3.0,600,55,200,14,1,Картофельная запеканка,Meal/Meat,Dinner,0,0,0
302,14.3,36.6,12.7,2.9,2.3,638,64,200,14,1,Картофельная запеканка с фаршем,Meal/Meat,Dinner,0,0,0
340,13.7,34.6,14.1,3.2,2.5,606,64,200,14,1,Картофельная запеканка с грибами,Meal/Meat,Dinner,0,0,0
314,16.0,34.7,14.7,2.8,3.6,610,51,200,14,1,Картофельная запеканка с сыром,Meal/Meat,Dinner,0,0,0
318,16.8,37.9,14.3,2.8,2.8,617,58,200,14,1,Картофельная запеканка постная,Meal/Meat,Dinner,0,0,0
240,10.0,18.0,15.0,3.0,4.0,700,40,150,19,1,Салат оливье,Meal/Vegetable,Dinner,0,1,0
268,11.3,19.8,13.7,2.8,4.3,697,47,150,19,1,Салат оливье классический,Meal/Vegetable,Dinner,0,1,0
267,10.8,18.1,13.6,2.6,3.3,707,46,150,19,1,Салат оливье с курицей,Meal/Vegetable,Dinner,0,1,0
227,9.7,20.7,14.1,3.0,3.7,653,43,150,19,1,Салат оливье постный,Meal/Vegetable,Dinner,0,1,0
223,10.0,16.4,18.0,2.9,3.1,662,50,150,19,1,Салат оливье с крабовыми палочками,Meal/Vegetable,Dinner,1,1,0
400,25.0,30.0,20.0,2.0,2.0,600,90,200,14,2,Шницель венский,Meal/Meat,Lunch,0,0,1
397,23.6,27.2,22.6,2.0,2.7,647,95,200,14,2,Шницель венский свиной,Meal/Meat,Lunch,0,0,1
402,23.0,27.5,19.3,2.3,2.1,643,99,200,14,2,Шницель венский куриный,Meal/Meat,Lunch,0,0,1
406,23.4,28.7,19.5,1.5,1.8,629,94,200,14,2,Шницель венский с картофелем,Meal/Meat,Lunch,0,0,1
383,26.3,30.0,20.7,2.1,2.2,641,84,200,14,2,Шницель венский с салатом,Meal/Meat,Lunch,0,0,1
380,22.0,35.0,16.0,3.0,4.0,700,60,200,14,2,Азу по-татарски,Meal/Meat,Lunch,0,0,1
375,20.0,34.1,16.9,2.7,4.3,717,61,200,14,2,Азу по-татарски с говядиной,Meal/Meat,Lunch,0,0,1
363,22.1,35.0,18.9,3.1,3.8,710,51,200,14,2,Азу по-татарски с бараниной,Meal/Meat,Lunch,0,0,1
392,23.9,33.5,14.1,3.3,3.7,743,70,200,14,2,Азу по-татарски острое,Meal/Meat,Lunch,0,0,1
365,22.3,36.5,14.7,2.9,3.7,732,55,200,14,2,Азу по-татарски с солеными огурцами,Meal/Meat,Lunch,0,0,1
280,18.0,25.0,12.0,2.0,2.0,500,65,200,12,1,Рыбные котлеты,Meal/Fish,Dinner,0,1,1
302,18.7,27.9,12.4,1.7,1.3,541,69,200,12,1,Рыбные котлеты из щуки,Meal/Fish,Dinner,0,0,1
262,16.8,26.7,14.4,1.8,1.6,500,72,200,12,1,Рыбные котлеты из минтая,Meal/Fish,Dinner,0,1,0
284,16.1,25.9,11.4,2.4,1.1,533,65,200,12,1,Рыбные котлеты запеченные,Meal/Fish,Dinner,0,1,0
274,19.2,24.6,12.0,1.9,2.9,493,60,200,12,1,Рыбные котлеты паровые,Meal/Fish,Dinner,0,1,1
380,5.0,50.0,18.0,1.0,30.0,250,40,100,6,3,Медовик,Dessert,Snack,0,0,0
385,5.0,52.5,18.6,1.3,30.5,210,43,100,6,3,Медовик классический,Dessert,Snack,0,0,0
390,6.3,50.3,17.6,0.6,30.3,239,44,100,6,3,Медовик со сметанным кремом,Dessert,Snack,0,0,0
390,4.7,51.1,17.8,0.5,30.7,245,49,100,6,3,Медовик с заварным кремом,Dessert,Snack,0,0,0
120,1.0,28.0,0.0,2.0,22.0,10,0,50,6,3,Пастила белёвская,Dessert,Snack,0,0,0
150,0.1,30.9,2.7,1.6,22.3,6,6,50,6,3,Пастила белёвская яблочная,Dessert,Snack,0,0,0
140,1.7,30.7,0.1,2.1,22.6,0,0,50,6,3,Пастила белёвская клубничная,Dessert,Snack,0,0,0
103,2.1,27.2,0.1,2.1,22.2,46,4,50,6,3,Пастила белёвская малиновая,Dessert,Snack,0,0,0
80,0.5,20.0,0.0,1.0,18.0,5,0,250,0,3,Компот из сухофруктов,Beverage,Snack,0,0,0
107,0.1,21.6,0.9,1.0,17.8,38,0,250,0,3,Компот из сухофруктов классический,Beverage,Snack,0,0,0
72,0.1,21.4,0.5,0.9,18.1,0,0,250,0,3,Компот из сухофруктов без сахара,Beverage,Snack,0,0,0
95,0.1,20.7,1.5,1.5,17.4,0,0,250,0,3,Компот из сухофруктов из яблок,Beverage,Snack,0,0,0
83,2.1,19.7,0.1,1.2,18.7,0,1,250,0,3,Компот из сухофруктов из груш,Beverage,Snack,0,0,0
60,0.5,12.0,0.0,0.0,8.0,15,0,250,0,3,Квас хлебный,Beverage,Snack,1,0,0
75,0.7,10.7,0.1,0.0,8.4,54,10,250,0,3,Квас хлебный темный,Beverage,Snack,1,0,0
49,0.1,10.3,2.9,0.3,7.5,28,0,250,0,3,Квас хлебный светлый,Beverage,Snack,1,0,0
58,0.8,11.8,2.9,0.0,8.8,0,0,250,0,3,Квас хлебный окрошечный,Beverage,Snack,1,0,0
110,0.5,25.0,0.0,0.0,20.0,20,0,50,6,3,Зефир ванильный,Dessert,Snack,0,0,0
110,1.4,24.9,0.1,0.0,20.1,0,0,50,6,3,Зефир ванильный классический,Dessert,Snack,0,0,0
122,0.3,26.1,0.1,0.4,20.6,51,8,50,6,3,Зефир ванильный в шоколаде,Dessert,Snack,0,0,0
99,2.4,24.6,2.6,0.0,19.2,0,0,50,6,3,Зефир ванильный фруктовый,Dessert,Snack,0,0,0
220,3.0,45.0,4.0,1.0,25.0,180,20,100,6,3,Пряник тульский,Dessert,Snack,0,1,0
208,2.3,46.3,3.7,1.4,25.8,140,18,100,6,3,Пряник тульский с повидлом,Dessert,Snack,0,1,0
210,4.8,43.6,5.1,1.1,24.2,212,15,100,6,3,Пряник тульский печатный,Dessert,Snack,0,1,0
230,3.3,43.0,5.1,1.4,24.7,202,11,100,6,3,Пряник тульский имбирный,Dessert,Snack,0,1,0
70,0.2,18.0,0.0,0.5,16.0,5,0,250,0,3,Морс клюквенный,Beverage,Snack,0,0,0
91,0.1,15.3,1.2,0.6,16.3,53,8,250,0,3,Морс клюквенный классический,Beverage,Snack,0,0,0
71,0.8,18.0,1.1,0.3,16.9,16,0,250,0,3,Морс клюквенный с медом,Beverage,Snack,0,0,0
90,0.9,16.8,0.1,0.1,15.9,16,4,250,0,3,Морс клюквенный брусничный,Beverage,Snack,0,0,0
160,4.0,15.0,10.0,3.0,12.0,5,0,50,20,3,Халва подсолнечная,Nut/Dessert,Snack,0,0,0
150,4.4,13.9,11.6,3.2,12.7,6,0,50,20,3,Халва подсолнечная классическая,Nut/Dessert,Snack,0,0,0
178,4.1,12.6,9.2,2.6,11.9,0,0,50,20,3,Халва подсолнечная с шоколадом,Nut/Dessert,Snack,0,1,0
143,5.8,17.2,10.1,3.5,12.8,0,8,50,20,3,Халва подсолнечная ванильная,Nut/Dessert,Snack,0,0,0
5,0.0,0.0,0.0,0.0,0.0,0,0,250,0,3,Чай черный,Beverage,Snack,1,0,0
21,0.1,0.1,3.0,0.0,0.8,13,0,250,0,3,Чай черный с сахаром,Beverage,Snack,1,0,0
10,0.1,0.1,0.1,0.1,0.0,0,5,250,0,3,Чай черный с лимоном,Beverage,Snack,1,0,0
15,1.4,1.0,0.1,0.0,0.0,0,0,250,0,3,Чай черный с молоком,Beverage,Snack,1,0,0
21,1.1,0.1,0.1,0.1,0.0,20,0,250,0,3,Чай черный с мятой,Beverage,Snack,1,0,0
20,0.1,5.0,0.0,1.0,3.0,0,0,250,0,3,Отвар шиповника,Beverage,Snack,1,0,0
10,0.1,6.6,0.1,1.5,3.4,0,0,250,0,3,Отвар шиповника с медом,Beverage,Snack,1,0,0
49,0.1,6.8,0.1,1.4,3.5,0,9,250,0,3,Отвар шиповника классический,Beverage,Snack,1,0,0
25,0.1,2.3,0.1,0.8,2.9,8,0,250,0,3,Отвар шиповника термосный,Beverage,Snack,1,0,0
270,0.3,70.0,0.0,0.5,65.0,10,0,0,2,3,Варенье клубничное,Condiment,Snack,0,1,0
280,0.4,69.0,1.1,0.2,66.0,54,0,0,2,3,Варенье клубничное домашнее,Condiment,Snack,0,1,0
280,0.3,70.1,0.4,0.6,64.9,0,1,0,2,3,Варенье клубничное магазинное,Condiment,Snack,0,1,0
267,0.1,69.5,0.1,0.9,65.7,40,0,0,2,3,Варенье клубничное пяти минутка,Condiment,Snack,0,1,0
320,7.0,55.0,8.0,0.0,50.0,100,30,0,4,3,Сгущенка вареная,Dairy/Condiment,Snack,0,0,0
330,6.1,55.9,10.9,0.1,49.5,56,38,0,4,3,Сгущенка вареная классическая,Dairy/Condiment,Snack,0,0,0
324,7.1,56.3,9.9,0.0,50.6,81,21,0,4,3,Сгущенка вареная ГОСТ,Dairy/Condiment,Snack,0,0,0
329,7.8,53.1,8.2,0.0,49.8,76,33,0,4,3,Сгущенка вареная для блинов,Dairy/Condiment,Snack,0,0,0
